PillarPosition,n,Average Length,Min. Length,Max. Length
Pit,21,3.8194444444444446,2.4,5.15
Wall,31,4.440714285714286,2,6.3
Main,371,4.744666666666666,1.6,9
MainWall,277,5.264246575342466,2.9,9.6
Mirror,47,4.8184375,2.1,7.2
uk,132,4.377142857142857,2.3,7
